Provider Name,State,City,Claims Paid for Testing,Claims Paid for Treatment,Claims Paid for Vaccine,Georeferenced Column
MISSION HOSPITALISTS L,NJ,TRENTON,$0 ,$389 ,$0 ,POINT (-74.759709 40.220572)
PARKVIEW MEDICAL CENTE,CO,PUEBLO,"$4,242 ",$652 ,$0 ,POINT (-104.610415 38.265425)
STARR INPATIENT MEDICA,MI,GRAND RAPIDS,"$3,134 ",$73 ,$0 ,POINT (-85.670209 42.965446)
RADIOLOGIC ASSOCIATES,NY,MIDDLETOWN,$171 ,$379 ,$0 ,POINT (-74.420024 41.445053)
RADIOLOGY ASSOCIATES O,OK,MCALESTER,$36 ,$415 ,$0 ,POINT (-95.766566 34.933784)
BAY CITY CARDIOLOGY,TX,BAY CITY,$0 ,$34 ,$0 ,POINT (-95.97 28.981885000000002)
SOUTHWEST BOULEVARD FA,KS,KANSAS CITY,"$1,584 ",$71 ,$0 ,POINT (-94.626804 39.1127)
NEIGHBORCARE HEALTH,WA,SEATTLE,"$19,455 ","$2,025 ",$0 ,POINT (-122.33028000000002 47.603229)
SOUTHEAST LUNG ASSOCIA,GA,VIDALIA,$0 ,"$2,907 ",$0 ,POINT (-82.412445 32.218842)
CHRISTIANA CARE HEALTH,DE,WILMINGTON,"$485,900 ","$779,299 ",$0 ,POINT (-75.5451 39.744432)
ADVANCED RADIOLOGY CON,MO,INDEPENDENCE,"$2,939 ","$3,772 ",$0 ,POINT (-94.412017 39.093659)
INPATIENT MEDICAL SERV,OH,AKRON,$0 ,"$8,167 ",$0 ,POINT (-81.515607 41.084821)
BAYLOR COLLEGE OF MEDI,TX,HOUSTON,$0 ,"$420,740 ",$0 ,POINT (-95.369506 29.760803)
KANSAS UNIVERSITY PHYS,KS,MISSION,$47 ,$474 ,$0 ,POINT (-94.65837 39.027668)
MED FIRST IMMEDIATE CA,NC,SOUTHPORT,$0 ,$336 ,$0 ,POINT (-78.020868 33.924004)
NORTHERN MEDICAL GROUP,NY,HIGHLAND,$773 ,$512 ,$0 ,POINT (-73.964749 41.718863)
ALLSOUTH URGENT CARE C,AL,DOTHAN,"$48,351 ","$15,146 ",$0 ,POINT (-85.391121 31.224296999999996)
VHS CHILDRENS HOSPITAL,MI,DETROIT,"$28,310 ","$4,257 ",$0 ,POINT (-83.047853 42.332916)
STEPHEN R SHEA MD INC,CA,LONG BEACH,"$2,234 ",$323 ,$0 ,POINT (-118.19372300000002 33.767168)
RELIAS NORTHPORT,AL,NORTHPORT,"$132,353 ","$20,855 ",$0 ,POINT (-87.57668 33.234299)
PEACEHEALTH PEACE ISLA,WA,FRIDAY HARBOR,"$15,912 ",$0 ,$0 ,POINT (-123.01686000000001 48.534241)
HEART OF TEXAS COMMUNI,TX,WACO,"$2,714 ",$0 ,$0 ,POINT (-97.129989 31.556766999999997)
VIRGINIA MASON MEDICAL,WA,KIRKLAND,$122 ,$0 ,$0 ,POINT (-122.20336400000001 47.675506)
METRA KNOXVILLE HMA LL,TN,KNOXVILLE,$955 ,$366 ,$0 ,POINT (-83.916677 35.962631)
ADVOCATE HEALTH AND HO,IL,TINLEY PARK,$56 ,$83 ,$0 ,POINT (-87.784288 41.573246000000005)
PROHEALTH CARE MEDICAL,WI,WAUKESHA,$0 ,$477 ,$0 ,POINT (-88.235085 43.012805)
IOWA TRIBE OF OKLAHOMA,OK,PERKINS,"$4,928 ","$1,335 ",$0 ,POINT (-97.027773 35.976226)
PERSON MEMORIAL,NC,ROXBORO,"$19,245 ","$39,808 ",$0 ,POINT (-78.98636700000002 36.395124)
METHODIST ASSOCIATES I,PA,PHILADELPHIA,$0 ,$334 ,$0 ,POINT (-75.16562 39.951061)
GUTHRIE CLINIC,NY,HORSEHEADS,"$1,076 ",$73 ,$0 ,POINT (-76.820713 42.167526)
CARDIOLOGY ASSOCIATES,DC,WASHINGTON,$10 ,$507 ,$0 ,POINT (-77.019912 38.892062)
MARGARET R  PARDEE HOS,NC,HENDERSONVILLE,"$1,161 ","$9,507 ",$0 ,POINT (-82.459174 35.317901)
UCHEALTH MEDICAL GROUP,CO,GREELEY,$673 ,$346 ,$0 ,POINT (-104.694445 40.422554000000005)
PORTAGE PHYSICIAN PRAC,MI,HANCOCK,$55 ,$603 ,$0 ,POINT (-88.591217 47.130692)
MEMORIAL HOSPITAL AT G,MS,LONG BEACH,"$30,060 ","$3,213 ",$0 ,POINT (-89.148013 30.345024000000002)
HORIZON HEALTH CARE IN,SD,LAKE PRESTON,$74 ,$0 ,$0 ,POINT (-97.375629 44.361112)
UNIVERSITY HEALTHCARE,CA,LOS GATOS,$953 ,$197 ,$0 ,POINT (-121.979636 37.221339)
TRINITY MEDICAL GROUP,ND,VELVA,$0 ,$117 ,$0 ,POINT (-100.928785 48.059401)
IOWA PHYSICIANS CLINIC,IA,WATERLOO,$523 ,$423 ,$0 ,POINT (-92.34364 42.493469)
SUMNER COUNTY EMS,TN,GALLATIN,$0 ,"$2,077 ",$0 ,POINT (-86.44383 36.381608)
CCMMA NJ LLC,NJ,PASSAIC,$0 ,"$2,541 ",$0 ,POINT (-74.12484 40.859885)
CAPE CORAL HOSPITAL,FL,CAPE CORAL,"$369,826 ","$475,723 ",$0 ,POINT (-81.956363 26.629814)
INSTITUTE FOR HYPERTEN,NJ,RAHWAY,$0 ,"$14,977 ",$0 ,POINT (-74.277505 40.606013)
TUSTIN URGENT CARE APC,CA,TUSTIN,"$107,534 ",$756 ,$0 ,POINT (-117.81880500000001 33.742072)
HURLEY MEDICAL CENTER,MI,DURAND,"$2,898 ","$1,212 ",$0 ,POINT (-83.987777 42.910774)
WEST HILLS HOSPITAL AN,CA,WEST HILLS,"$169,900 ","$425,354 ",$0 ,POINT (-118.62799799999999 34.202)
HERITAGE INTEGRATED HE,NY,BROOKLYN,$0 ,"$5,507 ",$0 ,POINT (-73.990996 40.692529)
ASPIRUS WAUSAU HOSPITA,WI,WITTENBERG,$179 ,$0 ,$0 ,POINT (-89.167382 44.82673)
LINCARE BILLING DEPT,ME,FALMOUTH,$0 ,"$1,980 ",$0 ,POINT (-70.231607 43.725867)
SOUTHWEST URGENT CARE,IL,EVERGREEN PARK,$241 ,$446 ,$0 ,POINT (-87.703107 41.722554)
UNIV OF CHICAGO PHYSIC,IN,MUNSTER,$0 ,$224 ,$0 ,POINT (-87.508975 41.561282)
BOONE COUNTY HEALTH CE,NE,ALBION,"$1,507 ",$321 ,$0 ,POINT (-97.99586400000001 41.689913)
UPMC COMMUNITY MEDICIN,PA,WEST MIFFLIN,$0 ,$14 ,$0 ,POINT (-79.927029 40.348131)
ST JOHN MACOMB OAKLAND,MI,MADISON HEIGHTS,"$70,919 ","$38,559 ",$0 ,POINT (-83.105747 42.504736)
SIOUX CENTER HEALTH,IA,SIOUX CENTER,"$11,450 ","$61,748 ",$0 ,POINT (-96.17546800000001 43.075969)
SYNERGY RADIOLOGY ASSO,TX,HOUSTON,$88 ,$423 ,$0 ,POINT (-95.369506 29.760803)
PHYSICIANS STAT LAB,FL,WINTER GARDEN,"$427,975 ",$0 ,$0 ,POINT (-81.583537 28.565962000000003)
SE EMERGENCY PHYSICIAN,TN,SEVIERVILLE,"$21,919 ","$3,542 ",$0 ,POINT (-83.562981 35.868379)
PRACTICE ASSOCIATES ME,NJ,SOUTH PLAINFIELD,$0 ,$503 ,$0 ,POINT (-74.415544 40.584157)
AFFINITY PHYSICIANS LL,RI,LINCOLN,$46 ,$0 ,$0 ,POINT (-71.445401 41.926671)
LAIRD HOSPITAL,MS,MERIDIAN,$936 ,$428 ,$0 ,POINT (-88.702527 32.365044)
TETON COUNTY HOSPITAL,WY,TETON VILLAGE,$0 ,$44 ,$0 ,POINT (-110.825761 43.586572)
MODESTO RADIOLOGICAL M,CA,OAKDALE,$138 ,$187 ,$0 ,POINT (-120.849475 37.76861)
PRIMARY HEALTH NETWORK,PA,FARRELL,$96 ,$0 ,$0 ,POINT (-80.500319 41.211945)
YALE MEDICINE,CT,NEW HAVEN,$0 ,"$2,464 ",$0 ,POINT (-72.924161 41.308252)
PRACTICE ASSOCIATES ME,NJ,PRINCETON,$189 ,$0 ,$0 ,POINT (-74.660744 40.351980000000005)
PARTNERS PHYSICIAN GRO,OH,STOW,$794 ,$188 ,$0 ,POINT (-81.440372 41.16883)
BAPTIST HEALTH MEDICAL,AR,NORTH LITTLE ROCK,"$60,790 ","$171,832 ",$0 ,POINT (-92.267774 34.756059)
RADIOLOGY ASSOCIATES O,OH,BARBERTON,$242 ,"$2,856 ",$0 ,POINT (-81.60475400000001 41.017602)
COMMUNITY HEALTH CLINI,ID,BOISE,$51 ,$0 ,$0 ,POINT (-116.20157900000001 43.615791)
JWCH INSTITUTE INC,CA,LANCASTER,"$105,191 ","$47,549 ",$0 ,POINT (-118.144521 34.697472)
EM SPECIALIST PA,KS,SHAWNEE MISSION,"$178,659 ","$46,348 ",$0 ,POINT (-94.624702 39.033298)
JUNEAU URGENT AND FAMI,AK,JUNEAU,"$6,886 ",$0 ,$0 ,POINT (-134.424524 58.301083999999996)
CENTENNIAL MEDICAL GRO,MD,LAUREL,"$9,041 ","$2,619 ",$0 ,POINT (-76.848374 39.099535)
WOODRUFF ROAD URGENT C,SC,EASLEY,"$164,394 ","$20,115 ",$0 ,POINT (-82.603752 34.830401)
MONROE COUNTY HOSPITAL,IA,ALBIA,"$4,480 ","$2,698 ",$0 ,POINT (-92.807111 41.026219)
VANDERBILT UNIVERSITY,TN,NASHVILLE,"$1,718 ",$0 ,$0 ,POINT (-86.779932 36.166687)
JACKSONVILLE LUNG CLIN,FL,JACKSONVILLE,$0 ,"$4,537 ",$0 ,POINT (-81.65676 30.325968)
ORANGE COUNTY URGENT C,CA,HUNTINGTON BEACH,"$29,463 ",$479 ,$0 ,POINT (-117.999313 33.659775)
DEGARA APP PLLC,MI,WEST BRANCH,$197 ,$0 ,$0 ,POINT (-84.245161 44.27623)
Winter Haven Hospital,FL,WINTER HAVEN,"$634,816 ","$1,599,370 ",$0 ,POINT (-81.732884 28.025878)
ORLANDO HEALTH,FL,LONGWOOD,"$5,654 ","$334,258 ",$0 ,POINT (-81.352659 28.704558)
CUMBERLAND COUNTY HOSP,NC,FAYETTEVILLE,$0 ,$103 ,$0 ,POINT (-78.883659 35.054417)
BEAUMONT MEDICAL GROUP,MI,DEARBORN,$0 ,$41 ,$0 ,POINT (-83.17594 42.322141)
TRIHEALTH,OH,CINCINNATI,$592 ,"$1,069 ",$0 ,POINT (-84.513808 39.104427)
EMERGENCY MEDICAL ASSO,NY,NEW ROCHELLE,"$23,049 ","$11,079 ",$0 ,POINT (-73.782337 40.911546)
PINNACLE EMERGENCY PHY,CA,BAKERSFIELD,"$44,393 ","$12,838 ",$0 ,POINT (-119.01891099999999 35.373405)
MERCY CLINIC SPRINGFIE,MO,REPUBLIC,$616 ,$60 ,$0 ,POINT (-93.476063 37.114985)
SACRED HEART HEALTH SY,FL,DESTIN,"$1,232 ",$64 ,$0 ,POINT (-86.495663 30.393676)
ICARE AMBULANCE LLC,CO,LAKEWOOD,$0 ,"$3,948 ",$0 ,POINT (-105.088872 39.710997000000006)
MIDWEST INNOVATION LAB,MO,SAINT LOUIS,"$9,197 ",$182 ,$0 ,POINT (-90.200309 38.630276)
EAST LIVERPOOL CITY HO,OH,EAST LIVERPOOL,"$2,880 ","$13,098 ",$0 ,POINT (-80.577751 40.619622)
SOUTHSIDE COMMUNITY HE,MN,MINNEAPOLIS,"$4,058 ",$650 ,$0 ,POINT (-93.264346 44.977479)
CYPRESS EMERGENCY ASSO,TX,HOUSTON,$124 ,$0 ,$0 ,POINT (-95.369506 29.760803)
RANDLEMAN MEDICAL CENT,NC,RANDLEMAN,"$1,438 ","$53,107 ",$0 ,POINT (-79.80306 35.817862)
MAT SU VALLEY III LLC,AK,WASILLA,"$1,080 ",$172 ,$0 ,POINT (-149.45077 61.585011)
NORTHERN EDGAR COUNTY,IL,CHRISMAN,$0 ,$602 ,$0 ,POINT (-87.673578 39.803357)
SOUTHERN NEW ENGLAND R,MA,WAREHAM,$19 ,$770 ,$0 ,POINT (-70.727434 41.758841)
RADIOLOGY OF HUNTSVILL,TN,WINCHESTER,$0 ,$173 ,$0 ,POINT (-86.111798 35.186788)
GUADALUPE REGIONAL MED,TX,SEGUIN,"$114,547 ","$658,042 ",$0 ,POINT (-97.968526 29.580782)
UTAH IMAGING ASSOCIATE,UT,WEST JORDAN,$18 ,$37 ,$0 ,POINT (-111.93876500000002 40.610919)
Siouxland Community He,IA,SIOUX CITY,"$485,726 ","$15,208 ",$0 ,POINT (-96.406436 42.496323)
HEALTH SERVICES OF CEN,GA,WARNER ROBINS,$0 ,"$1,727 ",$0 ,POINT (-83.612988 32.629183)
JFK MEDICAL CENTER,FL,ATLANTIS,"$1,728,459 ","$5,787,250 ",$0 ,POINT (-80.092982 26.594363000000005)
PRESBYTERIAN HOME HEAL,TX,AUSTIN,$44 ,$0 ,$0 ,POINT (-97.746598 30.264979)
EAST LAKE PEDIATRICS,FL,TRINITY,$905 ,$100 ,$0 ,POINT (-82.669418 28.175591)
ADVENTIST HEALTH MEDIC,CA,TEHACHAPI,"$40,592 ","$414,383 ",$0 ,POINT (-118.44907399999998 35.132317)
POCONO MEDICAL CENTER,PA,EAST STROUDSBURG,"$27,177 ","$14,707 ",$0 ,POINT (-75.183229 41.002827)
SSM MEDICAL GROUP INC,MO,TROY,$0 ,$70 ,$0 ,POINT (-90.981261 38.979534)
MEDLINK GEORGIA,GA,HOMER,"$2,013 ",$172 ,$0 ,POINT (-83.499453 34.333786)
RIPLEY EMERGENCY GROUP,MO,MOBERLY,"$7,616 ","$2,533 ",$0 ,POINT (-92.43355600000001 39.421755)
QUARRY STATE INPATIENT,NH,DERRY,$0 ,"$3,500 ",$0 ,POINT (-71.324171 42.881978)
KOSCUISCO COMM HOSP,IN,WARSAW,"$39,021 ","$49,625 ",$0 ,POINT (-85.856639 41.235151)
LONG ISLAND FQHC  INC,NY,ROOSEVELT,$90 ,$0 ,$0 ,POINT (-73.588505 40.676878)
UCHEALTH MEDICAL GROUP,CO,HIGHLANDS RANCH,$758 ,$45 ,$0 ,POINT (-104.987711 39.558491)
QINGHONG HUANG,NY,ELMHURST,"$2,130 ","$2,312 ",$0 ,POINT (-73.878304 40.736401)
SAINT VINCENT MEDICAL,PA,CORRY,$74 ,$0 ,$0 ,POINT (-79.641425 41.925211000000004)
LOST RIVERS RURAL HEAL,ID,ARCO,"$10,242 ","$1,124 ",$0 ,POINT (-113.300024 43.636623)
TARZANA EMERGENCY MEDI,CA,TARZANA,"$19,116 ","$3,230 ",$0 ,POINT (-118.553101 34.173302)
WILSON EMERGENCY PHYSI,NC,WILSON,"$11,923 ","$13,567 ",$0 ,POINT (-77.922737 35.731888)
WEAVER HEALTH SERVICES,GA,RINGGOLD,"$6,431 ","$2,326 ",$0 ,POINT (-85.109391 34.915724)
NORTH END COMMUNITY HE,MA,CHARLESTOWN,$734 ,$0 ,$0 ,POINT (-71.06250000000001 42.3778)
PRIVIA MEDICAL GROUP,VA,POWHATAN,$136 ,$121 ,$0 ,POINT (-77.918858 37.541069)
CATHOLIC MEDICAL CENTE,NH,NASHUA,$0 ,$796 ,$0 ,POINT (-71.46395 42.75787)
Duke University Hospit,NC,DURHAM,"$1,235,737 ","$4,229,136 ",$0 ,POINT (-78.899023 35.996948)
COMPREHENSIVE HOSPITAL,AZ,BULLHEAD CITY,$0 ,$881 ,$0 ,POINT (-114.59803699999999 35.107422)
URGENT CARE CENTER LLP,CT,NORTH HAVEN,"$6,406 ",$417 ,$0 ,POINT (-72.860826 41.38864)
NUCH OF TEXAS,TX,CONVERSE,"$35,129 ","$1,244 ",$0 ,POINT (-98.31221 29.515414)
SPECTRUM HEALTHCARE GR,AZ,PHOENIX,"$1,886 ",$19 ,$0 ,POINT (-112.072585 33.448204)
NORTHWEST RADIOLOGY NE,IN,ANDERSON,$537 ,$493 ,$0 ,POINT (-85.67821 40.107884)
TRINITY CLINIC,TX,MARSHALL,$0 ,$309 ,$0 ,POINT (-94.363315 32.545002)
IPC PAC HEALTHCARE SER,OH,CINCINNATI,$0 ,"$1,569 ",$0 ,POINT (-84.513808 39.104427)
WOORI MEDICAL GR PROFE,CA,SAN DIEGO,"$5,650 ",$0 ,$0 ,POINT (-117.163817 32.71576)
HOLY CROSS MEDICAL GRO,FL,POMPANO BEACH,$0 ,$208 ,$0 ,POINT (-80.126118 26.231477)
FAMILY CARE CLAYTON LL,GA,CLAYTON,"$16,369 ","$2,277 ",$0 ,POINT (-83.400901 34.878324)
FRANCISCAN HEALTH RENS,IN,RENSSELAER,"$28,406 ","$9,061 ",$0 ,POINT (-87.150735 40.93654)
VIRTUAL RADIOLOGIC PRO,NV,RENO,$961 ,"$6,525 ",$0 ,POINT (-119.81328300000001 39.526903)
JAMI GRAY,SC,LORIS,"$5,896 ",$0 ,$0 ,POINT (-78.888811 34.05572)
ADVENTIST HEALTH PARTN,IL,HINSDALE,$116 ,$0 ,$0 ,POINT (-87.92723600000001 41.80368500000001)
MOUNTAINLANDS FAMILY H,UT,PAYSON,$44 ,$0 ,$0 ,POINT (-111.733844 40.042535)
CUMBERLAND FAMILY MEDI,KY,SOMERSET,"$12,736 ",$985 ,$0 ,POINT (-84.60461 37.092109)
APPLE DIAGNOSTICS LAB,NJ,SOUTH PLAINFIELD,"$1,728 ","$4,550,925 ",$0 ,POINT (-74.415544 40.584157)
PCR DIAGNOSTICS LLC,TX,SAN ANTONIO,$0 ,"$1,968 ",$0 ,POINT (-98.494599 29.425172999999997)
COLLINS MEDICAL ASSOCI,CT,WEST HARTFORD,$50 ,$0 ,$0 ,POINT (-72.741807 41.762008)
UNIVERSITY OF CALIFORN,CA,SANTA ANA,$0 ,"$2,539 ",$0 ,POINT (-117.86978099999999 33.749738)
FLORIDA CLINICAL PRACT,FL,GAINESVILLE,$75 ,$0 ,$0 ,POINT (-82.325024 29.651958)
ST JOHN PROVIDENCE HOS,MI,NEW BALTIMORE,$49 ,$0 ,$0 ,POINT (-82.736831 42.681159)
NORTH WESTER MEDICAL G,IL,CAROL STREAM,$68 ,$56 ,$0 ,POINT (-88.120502 41.916407)
EMANUEL MEDICAL CENTER,CA,TURLOCK,"$4,447 ","$182,571 ",$0 ,POINT (-120.84898399999999 37.492749)
ST JOHN PHYSICIANS INC,OK,BROKEN ARROW,"$1,382 ",$243 ,$0 ,POINT (-95.790808 36.052449)
FAIRVIEW CLINICS,MN,MINNEAPOLIS,"$1,153 ",$200 ,$0 ,POINT (-93.264346 44.977479)
MCPC 8 LLC,NC,RAEFORD,$279 ,$251 ,$0 ,POINT (-79.224111 34.978744)
DALLAM HARTLEY COUNTIE,TX,DALHART,"$81,637 ","$590,450 ",$0 ,POINT (-102.521937 36.063289)
CONCORD MEDICAL GROUP,LA,DERIDDER,$673 ,$178 ,$0 ,POINT (-93.285518 30.847861000000005)
LOWELL GENERAL INPATIE,MA,LOWELL,$222 ,"$14,566 ",$0 ,POINT (-71.3074 42.645426)
MARJORIE DUGUE,NY,JAMAICA,$574 ,$0 ,$0 ,POINT (-73.806099 40.691399)
FRANCISCAN MEDICAL GRO,WA,AUBURN,$452 ,$83 ,$0 ,POINT (-122.22575000000002 47.307522)
GUADALUPE EMERGENCY ME,TX,ALICE,"$10,435 ","$26,193 ",$0 ,POINT (-98.064771 27.755128000000003)
ST VINCENT CHARITY MED,OH,CLEVELAND,"$25,371 ","$39,623 ",$0 ,POINT (-81.6915 41.505546)
APOGEE MEDICAL GROUP O,OH,URBANA,$0 ,"$3,361 ",$0 ,POINT (-83.750866 40.108014)
ST VINCENT CARMEL HOSP,IN,CARMEL,"$15,084 ","$12,596 ",$0 ,POINT (-86.12706700000001 39.978386)
UNIVERSITY OF NEW MEXI,NM,ALBUQUERQUE,"$1,213 ",$0 ,$0 ,POINT (-106.649241 35.084248)
LAKEWOOD HEALTH SYSTEM,MN,BROWERVILLE,$554 ,$232 ,$0 ,POINT (-94.870075 46.087297)
CESAR R CALIANGA,TX,EL PASO,$0 ,"$6,144 ",$0 ,POINT (-106.492257 31.76006)
STONY BROOK INTERNISTS,NY,PORT JEFFERSON STATIO,$0 ,"$1,060 ",$0 ,POINT (-73.665835 41.00155)
MERCY AMBULANCE OF EVA,IN,EVANSVILLE,$0 ,"$5,634 ",$0 ,POINT (-87.569907 37.975708)
COMMUNITY HEALTH CENTE,CA,NEW CUYAMA,$0 ,$79 ,$0 ,POINT (-119.68617100000002 34.946744)
WASHINGTON NEPHROLOGY,MD,POTOMAC,$0 ,"$2,755 ",$0 ,POINT (-77.203926 39.026619)
COMMUNITY HOSPITALS OF,IN,INDIANAPOLIS,"$207,348 ","$368,159 ",$0 ,POINT (-86.156212 39.76845)
ST MARYS REGIONAL MEDI,AR,RUSSELLVILLE,"$53,727 ","$93,722 ",$0 ,POINT (-93.133722 35.278146)
CAMELIA C WOGU MD LTD,CA,YREKA,$0 ,"$2,541 ",$0 ,POINT (-122.635649 41.731582)
ETMC PHYSICIAN GROUP I,TX,GUN BARREL CITY,"$1,216 ",$554 ,$0 ,POINT (-96.151107 32.330984)
LSU HEALTH SCIENCES CE,LA,SHREVEPORT,$0 ,"$1,141 ",$0 ,POINT (-93.747757 32.51424)
IPC PAC HEALTHCARE SER,TX,MESQUITE,$0 ,"$1,088 ",$0 ,POINT (-96.609069 32.774237)
ACCURATE PATHOLOGY SER,FL,PORT CHARLOTTE,"$1,500 ",$100 ,$0 ,POINT (-82.101078 26.981878000000002)
GRACEVILLE HEALTH CENT,MN,CHOKIO,$116 ,$0 ,$0 ,POINT (-96.173974 45.574254)
COVENANT PATHOLOGY ASS,MI,SAGINAW,"$38,629 ","$1,764 ",$0 ,POINT (-83.946359 43.41954700000001)
NORTH MEMORIAL AMBULAN,MN,FRIDLEY,$0 ,$75 ,$0 ,POINT (-93.258355 45.086138)
WESTHEALTH SURGERY CEN,MN,RICHFIELD,"$1,454 ",$291 ,$0 ,POINT (-93.26793900000001 44.879904)
BSA PHYSICIAN GROUP IN,TX,AMARILLO,"$18,596 ","$4,317 ",$0 ,POINT (-101.832013 35.207009)
ST VINCENTS MEDICAL CE,FL,JACKSONVILLE,"$379,310 ","$233,841 ",$0 ,POINT (-81.65676 30.325968)
TMH PHYSICIAN ASSOCIAT,TX,BELLAIRE,$53 ,$0 ,$0 ,POINT (-95.455438 29.704482)
HILL COUNTRY MEMORIAL,TX,FREDERICKSBURG,"$8,419 ","$102,260 ",$0 ,POINT (-98.875293 30.271846000000004)
GASTON FAMILY HEALTH S,NC,SALISBURY,"$1,060 ",$119 ,$0 ,POINT (-80.470993 35.668328)
INOVA PATHOLOGY INSTIT,VA,LEESBURG,$0 ,$806 ,$0 ,POINT (-77.550635 39.108)
UNIV OF CHICAGO PHYSIC,IL,CHICAGO,"$9,798 ","$52,619 ",$0 ,POINT (-87.632398 41.88322900000001)
PULMONARY CRITICAL CAR,TX,CORPUS CHRISTI,$0 ,"$13,980 ",$0 ,POINT (-97.404131 27.796416)
ALTAMED HEALTH SERVICE,CA,EL MONTE,"$59,129 ","$12,489 ",$0 ,POINT (-118.03112600000001 34.071204)
BELLEVUE HOSPITAL CENT,NY,BRONX,"$6,356 ",$103 ,$0 ,POINT (-73.920265 40.826153)
ALLINA HEALTH SYSTEM,MN,PLYMOUTH,"$6,757 ","$2,727 ",$0 ,POINT (-93.473853 45.018311)
ROCKY MOUNTAIN PHYSICI,ID,POCATELLO,"$16,199 ","$5,794 ",$0 ,POINT (-112.443496 42.866617)
NORTHWEST RADIOLOGY AS,IL,ARLINGTON HEIGHTS,$39 ,$747 ,$0 ,POINT (-87.98051 42.08296)
GREENWOOD LEFORE HOSPI,MS,GREENWOOD,"$60,637 ","$168,782 ",$0 ,POINT (-90.192849 33.521468)
BREVARD COUNTY FIRE RE,FL,ROCKLEDGE,$0 ,"$22,922 ",$0 ,POINT (-80.717462 28.324494000000005)
WESTHEALTH SURGERY CEN,MN,MINNEAPOLIS,$259 ,$254 ,$0 ,POINT (-93.264346 44.977479)
TRINITY HEALTH OF NEW,CT,HARTFORD,$711 ,"$7,151 ",$0 ,POINT (-72.673356 41.765775)
TRINITY MEDICAL GROUP,ND,MINOT,$920 ,"$10,624 ",$0 ,POINT (-101.296061 48.235533)
REGIONAL EMPLOYEE ASSI,TX,SAN ANGELO,$639 ,$0 ,$0 ,POINT (-100.437304 31.46378)
SENTARA HEALTHCARE,VA,SUFFOLK,"$124,016 ","$536,940 ",$0 ,POINT (-76.583192 36.728187)
IPC HEALTHCARE SERVICE,TX,AUSTIN,$0 ,"$348,048 ",$0 ,POINT (-97.746598 30.264979)
UNIVERSITY MEDICAL CEN,TX,EL PASO,"$16,148 ","$11,062 ",$0 ,POINT (-106.492257 31.76006)
GOSHEN MEDICAL CENTER,NC,FREMONT,$572 ,$0 ,$0 ,POINT (-77.975339 35.54421)
STONY BROOK ORTHOPAEDI,NY,SMITHTOWN,$40 ,$80 ,$0 ,POINT (-73.197132 40.85496)
BAPTIST HEALTH MEDICAL,KY,NICHOLASVILLE,$667 ,$120 ,$0 ,POINT (-84.573016 37.880367)
PROVIDENCE SEASIDE HOS,OR,CANNON BEACH,$696 ,$0 ,$0 ,POINT (-123.96227600000002 45.888003)
BIOCEPT INC,CA,SAN DIEGO,"$8,738,850 ","$25,975 ",$0 ,POINT (-117.163817 32.71576)
WILLIAM BEAUMONT HOSPI,MI,TROY,"$27,051 ","$230,061 ",$0 ,POINT (-83.154042 42.56294)
REGIONAL SERVICES,MO,SPRINGFIELD,$298 ,$250 ,$0 ,POINT (-93.292361 37.215521)
UVA HEALTH SERVICES FO,VA,PALMYRA,$816 ,$685 ,$0 ,POINT (-78.26449 37.861593)
GUTHRIE CLINIC,NY,CORNING,"$1,193 ","$1,447 ",$0 ,POINT (-77.05306 42.141185)
RIDGEVIEW MEDICAL CENT,MN,CHASKA,"$2,173 ",$100 ,$0 ,POINT (-93.601848 44.78933000000001)
PRIME HEALTHCARE SHAST,CA,REDDING,"$6,752 ",$0 ,$0 ,POINT (-122.38109 40.574637)
RADIOLOGY AND IMAGING,CO,COLORADO SPRINGS,"$3,179 ","$3,733 ",$0 ,POINT (-104.819798 38.835224)
CHERRY STREET HEALTH S,MI,GRAND RAPIDS,"$9,329 ","$3,502 ",$0 ,POINT (-85.670209 42.965446)
RADIOLOGY AND NUCLEAR,KS,TOPEKA,$0 ,$9 ,$0 ,POINT (-95.67043300000002 39.050976)
CROUSE MEDICAL PRACTIC,NY,MANLIUS,$23 ,$0 ,$0 ,POINT (-75.979256 43.001216)
DR MOYSIK MEDICAL PC,NY,BROOKLYN,$0 ,"$2,819 ",$0 ,POINT (-73.990996 40.692529)
EMERGENCY PHYSICIANS G,AL,HUNTSVILLE,"$268,921 ","$25,545 ",$0 ,POINT (-86.585283 34.729538)
KYTE RIVER EMERGENCY P,IL,ROCHELLE,"$1,814 ","$1,140 ",$0 ,POINT (-89.068774 41.922787)
SAINTS MEDICAL GROUP,OK,OKLAHOMA CITY,$523 ,$478 ,$0 ,POINT (-97.521264 35.468494)
GWINNETT PULMONARY GRO,GA,DACULA,$0 ,"$10,368 ",$0 ,POINT (-83.898476 33.988802)
NORTHWEST IMAGING PC,MT,KALISPELL,$0 ,$11 ,$0 ,POINT (-114.31346 48.197751)
ESS OF CLINTON LLC,OK,CLINTON,"$5,440 ",$872 ,$0 ,POINT (-98.964237 35.515624)
GPS PHYSICIAN GROUP PC,PA,CLARKS SUMMIT,$0 ,$932 ,$0 ,POINT (-75.709113 41.49213900000001)
ST CLAIR HOSPITAL,PA,PITTSBURGH,"$19,188 ","$28,233 ",$0 ,POINT (-79.994945 40.442169)
